証券コード,銘柄名,業種（日経業種分類）,決算期,PER（株価収益率、倍）,業種平均PER（倍）,"PER評価
（利益に対する割安・割高／業種平均より低いか）",PBR（株価純資産倍率、倍）,業種平均PBR（倍）,"PBR評価
（資産に対する割安・割高／1倍前後・業種平均比）",配当利回り（%）,配当性向（%）,"配当評価
（増配傾向か／性向が過度に高くないか）",ROE（自己資本利益率、%）,"ROE評価
（資本効率。目安8〜10%以上）",営業利益率の推移（直近3期以上）,"営業利益率評価
（収益力の安定性。安定/改善しているか）",自己資本比率（%）,"自己資本比率評価
（財務健全性。業種特性を踏まえ低すぎないか）",データ取得日・出所
3382,セブン&アイ・ホールディングス,小売業,,16.76,26.93,割安（業種平均より低い）,1.25,3.72,やや割安（業種平均より低い）,3.06,,,,,,,,,
3401,帝人,繊維,,6.97,12.60,割安（業種平均より低い）,0.86,0.89,割安（1倍前後かつ業種平均より低い）,3.07,,,,,,,,,
3402,東レ,繊維,,18.24,12.60,割高（業種平均以上）,0.92,0.89,割安（1倍以下）,2.30,,,,,,,,,
3405,クラレ,化学,,12.56,18.47,割安（業種平均より低い）,0.68,1.75,割安（1倍前後かつ業種平均より低い）,3.83,,,,,,,,,
3407,旭化成,化学,,15.13,18.47,割安（業種平均より低い）,1.17,1.75,割安（1倍前後かつ業種平均より低い）,2.45,,,,,,,,,
3436,SUMCO,非鉄金属製品,,,25.94,データなし,2.36,4.90,やや割安（業種平均より低い）,,,,,,,,,,
3659,ネクソン,サービス,,,22.72,データなし,1.62,3.73,やや割安（業種平均より低い）,2.79,,,,,,,,,
3697,SHIFT,サービス,,,22.72,データなし,4.50,3.73,割高（1倍超・業種平均以上）,0.00,,,,,,,,,
3861,王子ホールディングス,パルプ･紙,,19.30,19.30,業種内比較銘柄なし（1社のみ）,0.62,0.62,業種内比較銘柄なし（1社のみ）,4.52,,,,,,,,,
4004,レゾナック・ホールディングス,化学,,41.59,18.47,割高（業種平均以上）,4.55,1.75,割高（1倍超・業種平均以上）,0.36,,,,,,,,,
4005,住友化学,化学,,12.11,18.47,割安（業種平均より低い）,0.84,1.75,割安（1倍前後かつ業種平均より低い）,3.11,,,,,,,,,
4021,日産化学,化学,,22.03,18.47,割高（業種平均以上）,4.40,1.75,割高（1倍超・業種平均以上）,2.50,,,,,,,,,
4042,東ソー,化学,,,18.47,データなし,1.08,1.75,割安（1倍前後かつ業種平均より低い）,3.41,,,,,,,,,
4043,トクヤマ,化学,,12.79,18.47,割安（業種平均より低い）,1.26,1.75,やや割安（業種平均より低い）,,,,,,,,,,
4061,デンカ,化学,,23.36,18.47,割高（業種平均以上）,1.21,1.75,やや割安（業種平均より低い）,2.30,,,,,,,,,
4062,イビデン,電気機器,,114.66,40.90,割高（業種平均以上）,12.03,5.91,割高（1倍超・業種平均以上）,0.14,,,,,,,,,
4063,信越化学工業,化学,,,18.47,データなし,2.89,1.75,割高（1倍超・業種平均以上）,,,,,,,,,,
4151,協和キリン,医薬品,,,20.57,データなし,1.51,2.34,やや割安（業種平均より低い）,2.70,,,,,,,,,
4183,三井化学,化学,,17.14,18.47,割安（業種平均より低い）,0.90,1.75,割安（1倍前後かつ業種平均より低い）,3.51,,,,,,,,,
4188,三菱ケミカルグループ,化学,,12.07,18.47,割安（業種平均より低い）,0.87,1.75,割安（1倍前後かつ業種平均より低い）,2.83,,,,,,,,,
4208,UBE,化学,,12.61,18.47,割安（業種平均より低い）,0.70,1.75,割安（1倍前後かつ業種平均より低い）,5.03,,,,,,,,,
4307,野村総合研究所,サービス,,21.60,22.72,割安（業種平均より低い）,5.97,3.73,割高（1倍超・業種平均以上）,1.82,,,,,,,,,
4324,電通グループ,サービス,,11.53,22.72,割安（業種平均より低い）,1.92,3.73,やや割安（業種平均より低い）,0.00,,,,,,,,,
4385,メルカリ,サービス,,,22.72,データなし,5.44,3.73,割高（1倍超・業種平均以上）,0.00,,,,,,,,,
4452,花王,化学,,22.43,18.47,割高（業種平均以上）,2.74,1.75,割高（1倍超・業種平均以上）,2.42,,,,,,,,,
4502,武田薬品工業,医薬品,,49.06,20.57,割高（業種平均以上）,1.10,2.34,割安（1倍前後かつ業種平均より低い）,3.95,,,,,,,,,
4503,アステラス製薬,医薬品,,12.99,20.57,割安（業種平均より低い）,2.13,2.34,やや割安（業種平均より低い）,3.67,,,,,,,,,
4506,住友ファーマ,医薬品,,8.74,20.57,割安（業種平均より低い）,2.35,2.34,割高（1倍超・業種平均以上）,,,,,,,,,,
4507,塩野義製薬,医薬品,,11.30,20.57,割安（業種平均より低い）,1.42,2.34,やや割安（業種平均より低い）,2.72,,,,,,,,,
4519,中外製薬,医薬品,,,20.57,データなし,6.53,2.34,割高（1倍超・業種平均以上）,1.75,,,,,,,,,
4523,エーザイ,医薬品,,22.22,20.57,割高（業種平均以上）,1.30,2.34,やや割安（業種平均より低い）,3.88,,,,,,,,,
4543,テルモ,精密機器,,19.94,37.84,割安（業種平均より低い）,2.09,4.88,やや割安（業種平均より低い）,1.61,,,,,,,,,
4568,第一三共,医薬品,,18.26,20.57,割安（業種平均より低い）,2.86,2.34,割高（1倍超・業種平均以上）,3.83,,,,,,,,,
4578,大塚ホールディングス,医薬品,,21.45,20.57,割高（業種平均以上）,1.85,2.34,やや割安（業種平均より低い）,1.29,,,,,,,,,
4661,オリエンタルランド,サービス,,35.88,22.72,割高（業種平均以上）,3.72,3.73,やや割安（業種平均より低い）,0.64,,,,,,,,,
4689,LINEヤフー,サービス,,,22.72,データなし,0.97,3.73,割安（1倍前後かつ業種平均より低い）,2.53,,,,,,,,,
4704,トレンドマイクロ,サービス,,21.21,22.72,割安（業種平均より低い）,6.98,3.73,割高（1倍超・業種平均以上）,,,,,,,,,,
4751,サイバーエージェント,サービス,,27.63,22.72,割高（業種平均以上）,3.51,3.73,やや割安（業種平均より低い）,1.39,,,,,,,,,
4755,楽天グループ,サービス,,,22.72,データなし,1.73,3.73,やや割安（業種平均より低い）,,,,,,,,,,
4901,富士フイルムホールディングス,化学,,14.87,18.47,割安（業種平均より低い）,1.09,1.75,割安（1倍前後かつ業種平均より低い）,2.15,,,,,,,,,
4902,コニカミノルタ,精密機器,,9.52,37.84,割安（業種平均より低い）,0.52,4.88,割安（1倍前後かつ業種平均より低い）,3.27,,,,,,,,,
4911,資生堂,化学,,24.91,18.47,割高（業種平均以上）,1.73,1.75,やや割安（業種平均より低い）,2.29,,,,,,,,,
5019,出光興産,石油,,19.14,13.44,割高（業種平均以上）,0.75,0.85,割安（1倍前後かつ業種平均より低い）,3.00,,,,,,,,,
5020,ENEOSホールディングス,石油,,7.74,13.44,割安（業種平均より低い）,0.96,0.85,割安（1倍以下）,2.84,,,,,,,,,
5101,横浜ゴム,ゴム,,10.48,11.50,割安（業種平均より低い）,1.11,1.14,割安（1倍前後かつ業種平均より低い）,2.37,,,,,,,,,
5108,ブリヂストン,ゴム,,12.53,11.50,割高（業種平均以上）,1.16,1.14,割高（1倍超・業種平均以上）,3.66,,,,,,,,,
5201,AGC,窯業,,19.21,22.45,割安（業種平均より低い）,0.98,1.49,割安（1倍前後かつ業種平均より低い）,3.01,,,,,,,,,
5214,日本電気硝子,窯業,,20.97,22.45,割安（業種平均より低い）,0.97,1.49,割安（1倍前後かつ業種平均より低い）,2.44,,,,,,,,,
